id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2019-12-30T00:24:37;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2019-12-29T19:24:57;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2019-12-29T21:33:59;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2019-12-29T14:18:24;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2019-12-30T05:41:30;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2019-12-29T17:03:36;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2019-12-29T20:00:08;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2019-12-29T10:02:47;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2019-12-29T12:52:23;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2019-12-29T13:34:48;601;74069
